,trafo_SK90,LN0a,LO0b,LO0a,LAA20,LBB21,LCC23,Llugnw24,Llugnw26,Llugnw27,Lslusn8,Lslusn9,Lslusn10,Lfarvt13,Lslusn11,Lfarvt12,LDD4,LEE5,Lfarvt16,Llugne17,Llugne18,Llugne19,LF 4,Luddnw3,LG2,Llugnw6,Llugnw7,LH5,LA1,LB2,LC5,LD4,LE7,LM8,LN4,LO7,LI5,LJ8,LK9,LL 1,LU 1,LW5,LV4,LX6,LY8,LZ11,LP10,LQ3,LR4,LS 7,LT8,LN0b,LO1
2000-03-19 17:30:00,54.13946826598235,32.00080458927569,0.0916659963523961,0.0912092050290261,55.498492839238814,33.47320841680448,0.0,89.14438002866085,100.44674543487224,102.53883199668917,50.91465846525804,51.27852780275776,52.67885814641519,32.1713814268983,53.08625407548215,31.303075983538847,26.636344023436482,0.0,32.636710012101915,29.271026945942403,30.06630183460451,31.344070882378944,15.477020048982803,98.93021486564214,47.73860407331898,109.6375772709868,115.7376350233851,15.49083784684718,33.55437323428186,32.59680682792512,16.364121905927266,2.6869029264246092e-14,16.414963041656335,45.872727451121804,9.467271217174158,16.40690721305615,66.75504415702473,2.6869029264246092e-14,4.299044682279375e-13,0.0,72.27611598130996,0.0,29.158502344400777,40.90427246126331,22.2563776460428,21.106684033370385,14.771355470918108,27.48340814060411,20.88630948414484,16.485054532992912,0.0,32.017860773245566,0.12628582285063883
2000-03-19 18:00:00,52.74560970834635,31.176582791068085,0.0916659963523961,0.0912092050290261,55.48002398854472,28.122922070840545,0.0,85.8705782506658,96.75786753036576,98.77312281349145,50.8975330528922,51.261280001031686,52.66113933623473,32.160708280159085,53.06839823554472,31.29269090498246,26.62763958322978,0.0,32.625882488394794,29.26106875355637,30.056073084566126,31.33340742705989,15.469501153887308,98.87905711471382,47.71541801344884,109.5828070996824,115.67981752819445,15.483298777319707,33.5361348089792,32.580120041070344,16.35604340326773,2.6869029264246092e-14,16.40680887273008,45.85659455108558,9.464159467410832,16.401524882041752,56.13921767885842,0.0,0.0,1.772541531428778e-12,72.25181573678445,1.3434514632123046e-14,29.148716017899112,40.8905422031659,22.248895360400965,21.099517516613915,14.766385672544713,27.474345342103433,20.879366585899717,16.47959939378708,0.0,31.193538505635622,0.12628582285063883
2000-03-19 18:30:00,64.0701796921841,37.87301479060551,0.0916659963523961,0.0912092050290261,65.36459826202442,39.420016999644496,0.0,105.2502998282924,118.59468954068892,121.06475818470439,60.431847567647864,60.863732942138036,62.525819115808154,38.33413300545567,63.00936726141465,37.2994949240668,31.700271222040428,0.0,38.88859995978737,34.73427077569557,35.6779784691405,37.19423466938092,18.24203595011061,117.30753086787145,56.262396645259315,129.56343968810165,136.77214024834356,18.26133413719855,39.98866141026087,38.60950240132176,19.319022158584623,0.0,19.390430495147463,54.31245027769045,11.270493887411176,19.482633528524033,78.57466356471751,2.6869029264246092e-14,0.0,1.9225912295771333e-12,86.2285944974977,0.0,34.37472142161622,48.22349768744766,26.401374414824936,25.201258424328195,17.623154206199338,32.730616726185715,24.887200875502558,19.640640604460113,0.0,37.89084302532603,0.12628582285063883
2000-03-19 19:00:00,60.9708672522179,36.04034146440076,0.0916659963523961,0.0912092050290261,65.31477657625574,32.716929030130046,0.0,94.82563808642888,106.84831423477515,109.0737315083387,60.385184513193,60.81673640307981,62.477539180317066,38.30501369241788,62.96071394939473,37.271161541160794,31.676622335088357,0.0,38.85905946344565,34.70708152457595,35.650050503636095,37.165119810652314,18.207827363545963,96.72552198134805,56.15692138801764,119.41504242574406,126.05910255032937,18.227016895779325,32.81135355321624,31.894308545525092,15.985642984424514,0.0,16.03426400027112,54.268218070776356,11.262027648471632,19.46803205587277,65.27388089082991,0.0,0.0,4.299044682279375e-13,86.16204473188816,0.0,34.34824901249757,48.18635451577131,26.381001172897463,25.181577207488846,17.609540143624958,32.705933899579556,24.86825181317051,19.625766935938284,0.0,36.05792228102033,0.12628582285063883
2000-03-19 19:30:00,69.63877039679497,41.165820123590734,0.0916659963523961,0.0912092050290261,71.14260715027618,42.89623969087476,0.0,114.70981684744193,129.25355213700317,131.94562163435415,65.62003509504659,66.08899863946567,67.89377803041762,41.48475847572873,68.41883969180908,40.36508502674049,34.272466916005314,0.0,42.08479624572267,37.750472073646556,38.77612800744036,40.42405053655706,19.859818420701274,128.17836464184765,61.25526411077604,141.28522137501113,149.14610293953032,19.882761977787734,43.83376276983589,42.16278637099801,21.048390109933532,0.0,21.13353870237506,59.298306223237894,12.191084855473235,21.07919544935388,85.47831118466787,0.0,0.0,0.0,93.38310176839799,1.3434514632123046e-14,37.42600925815656,52.503571374949665,28.699244474777203,27.31054924423688,19.087335050232966,35.40813834754775,26.939680416307176,21.249758957295505,0.0,41.18408487298571,0.12628582285063883
2000-03-19 20:00:00,66.56180115370684,39.34636005104122,0.0916659963523961,0.0912092050290261,71.08802532040288,36.27384615624418,0.0,104.35391099227571,117.58465008342685,120.03368180915706,65.568976673825,66.03757532148362,67.84095042811616,41.45305223206146,68.36560354325391,40.33423453445215,34.24678163829271,0.0,42.05263140124783,37.72063819530883,38.7454835619058,40.39210375180463,19.822509312653725,107.67647069271757,61.14022599062936,131.16347164165973,138.46119539600542,19.845323427139853,36.63670176135659,35.4839096071897,17.747861112956784,0.0,17.808064108025395,59.24937436589289,12.181879386169005,21.06331818396885,72.34803605016282,0.0,0.0,0.0,93.31048075797652,0.0,37.39697179347145,52.46282901837505,28.676928771155204,27.28903572815869,19.0724777068413,35.38128913024091,26.919038640239545,21.23357227351614,0.0,39.36437779943997,0.12628582285063883
2000-03-19 20:30:00,57.046003746855135,33.71949255238562,0.0916659963523961,0.0912092050290261,58.44025268379816,35.24671733152077,0.0,93.93789935517886,105.84802160475179,108.05260496517776,53.666877536410865,54.05041602539392,55.526441974087504,33.924549838494556,55.95585990780433,33.00892638740825,28.07806966868267,0.0,34.415236345564956,30.852698195102267,31.690946069607772,33.037759861513045,16.301135643241494,104.382011755847,50.279033282241556,115.5639159071941,121.99370557123308,16.316488094579203,35.45566530579551,34.38210480560693,17.243859049805486,0.0,17.300441898476834,48.379179982533294,9.980609002638676,17.260454261523524,70.28125511402253,0.0,4.299044682279375e-13,0.0,76.24245083257397,0.0,30.714107354033533,43.08460567952754,23.444205450530273,22.270057858980856,15.58191472834462,28.9766806456642,22.02456122131426,17.38278664834305,0.0,33.736774006339076,0.12628582285063883
2000-03-19 21:00:00,54.38738966993927,32.14741000811934,0.0916659963523961,0.0912092050290261,58.40266820602101,29.465985007597673,0.0,84.99979752186103,95.77668296026545,97.77150230945605,53.63197060906385,54.015259630390965,55.49032551706971,33.90280210530807,55.91946414143811,32.9877656254445,28.06035445800466,0.0,34.39317405200016,30.832385511960673,31.6700815039908,33.01600858570788,16.275180334551372,86.78324097157599,50.198998277106966,106.89955616781002,112.84727484748787,16.290459393242525,29.35928982943427,28.63086859121488,14.376984687318634,2.6869029264246092e-14,14.416131426113157,48.34619266256705,9.97427339140685,17.24951970231594,58.8013974718996,0.0,0.0,0.0,76.19288180606031,0.0,30.694175654549287,43.056642467198905,23.428964679398536,22.255427673849173,15.571776590882783,28.958223271318893,22.01041277039098,17.371673207453565,0.0,32.16448048025431,0.12628582285063883
2000-03-19 21:30:00,56.42350170603786,33.35139548957624,0.0916659963523961,0.0912092050290261,57.87737489726179,34.90579056621655,0.0,93.01608333845869,104.80933112601743,106.99228082988739,53.04435950155726,53.42344907088219,54.88235360660803,33.46753397785222,55.306790434278206,32.56424538283714,27.6800714545605,0.0,33.95161018302131,30.507277495555734,31.33614051284792,32.66787564423322,16.142442954888413,103.3315470530124,49.79157102181367,114.42408780466539,120.79045927371843,16.15749319028737,35.09009403771771,34.039406483925575,17.073329948611384,0.0,17.128774038995314,47.89862618853352,9.840047650000248,17.09257976862177,69.60348849195537,0.0,0.0,0.0,75.1581866983359,0.0,30.411940205561027,42.66405629293854,23.21436497693534,21.994075247553795,15.377421215103517,28.56702972153901,21.754406929706,17.142274151029362,0.0,33.36862883735973,0.12628582285063883
2000-03-19 22:00:00,53.921012606543805,31.871632239390557,0.0916659963523961,0.0912092050290261,57.842382214345754,29.4626966895431,0.0,84.60275020434445,95.32929512924649,97.31479636599353,53.01193010917452,53.3907879169231,54.84880053147027,33.44736497920435,55.272977873899755,32.54462074537339,27.663650465175177,0.0,33.931149458895625,30.48839966155611,31.31674978029907,32.64766083701225,16.11826580421991,86.76776672630486,49.717015880167466,106.27027983386186,112.18298659450161,16.133248357099234,29.353822853037993,28.625806459792518,14.37452220669872,0.0,14.413648738510766,47.867942175048015,9.834174804656465,17.0823987732467,58.79381812677445,0.0,0.0,0.0,75.11225837019984,1.3434514632123046e-14,30.393389426296437,42.638028446028805,23.20017988451762,21.980496096244522,15.368017621224823,28.54992238854438,21.741269801640623,17.13197097320063,0.0,31.888666986511343,0.12628582285063883
