,DH_PE_MW
2000-01-07 23:30:00,0.0
2000-01-08 00:00:00,0.0
2000-01-08 00:30:00,0.0
2000-01-08 01:00:00,0.0
2000-01-08 01:30:00,0.0
2000-01-08 02:00:00,0.0
2000-01-08 02:30:00,0.0
2000-01-08 03:00:00,0.0
2000-01-08 03:30:00,0.0
2000-01-08 04:00:00,0.0
2000-01-08 04:30:00,0.0
2000-01-08 05:00:00,0.0
2000-01-08 05:30:00,0.0
2000-01-08 06:00:00,0.0
2000-01-08 06:30:00,0.0
2000-01-08 07:00:00,0.0
2000-01-08 07:30:00,0.0
2000-01-08 08:00:00,0.0
2000-01-08 08:30:00,0.0
2000-01-08 09:00:00,0.0
2000-01-08 09:30:00,0.0
2000-01-08 10:00:00,0.0
2000-01-08 10:30:00,0.0
2000-01-08 11:00:00,0.0
2000-01-08 11:30:00,0.0
2000-01-08 12:00:00,0.0
2000-01-08 12:30:00,0.0
2000-01-08 13:00:00,0.0
2000-01-08 13:30:00,0.0
2000-01-08 14:00:00,129.47860209305026
2000-01-08 14:30:00,0.0
2000-01-08 15:00:00,0.0
2000-01-08 15:30:00,0.0
2000-01-08 16:00:00,0.0
2000-01-08 16:30:00,0.0
2000-01-08 17:00:00,0.0
2000-01-08 17:30:00,0.0
2000-01-08 18:00:00,119.84136832598499
2000-01-08 18:30:00,0.0
2000-01-08 19:00:00,136.77324728085318
2000-01-08 19:30:00,0.0
2000-01-08 20:00:00,134.63529110347346
2000-01-08 20:30:00,0.0
2000-01-08 21:00:00,123.34299236781845
2000-01-08 21:30:00,0.0
2000-01-08 22:00:00,118.01784842615388
2000-01-08 22:30:00,0.0
2000-01-08 23:00:00,127.97631061403278
2000-01-08 23:30:00,0.0
2000-01-09 00:00:00,0.0
2000-01-09 00:30:00,0.0
2000-01-09 01:00:00,0.0
2000-01-09 01:30:00,0.0
2000-01-09 02:00:00,0.0
2000-01-09 02:30:00,0.0
2000-01-09 03:00:00,0.0
2000-01-09 03:30:00,0.0
2000-01-09 04:00:00,0.0
2000-01-09 04:30:00,0.0
2000-01-09 05:00:00,0.0
2000-01-09 05:30:00,0.0
2000-01-09 06:00:00,0.0
2000-01-09 06:30:00,0.0
2000-01-09 07:00:00,0.0
2000-01-09 07:30:00,0.0
